\\Hourly Demand Report,,,
\\Created at 2018-05-22 08:00:00,,,
\\For 2010,,,
Date,Hour,Market Demand,Ontario Demand
2010-01-01,1,16025,14403
2010-01-01,2,15428,13814
2010-01-01,3,15291,13366
2010-01-01,4,15482,13120
2010-01-01,5,15508,13075
2010-01-01,6,15662,13234
2010-01-01,7,15689,13534
2010-01-01,8,16066,13698
2010-01-01,9,16120,13814
2010-01-01,10,16705,14273
2010-01-01,11,16977,14858
2010-01-01,12,16927,15365
2010-01-01,13,17187,15599
2010-01-01,14,17275,15659
2010-01-01,15,17434,15747
2010-01-01,16,17309,15949
2010-01-01,17,18239,16780
2010-01-01,18,19246,17871
2010-01-01,19,19887,17915
2010-01-01,20,19357,17552
2010-01-01,21,19064,17326
2010-01-01,22,18339,16831
2010-01-01,23,17554,16208
2010-01-01,24,16749,15450
2010-01-02,1,16118,14745
2010-01-02,2,15705,14322
2010-01-02,3,15522,14133
2010-01-02,4,15669,14161
2010-01-02,5,15977,14129
2010-01-02,6,16161,14515
2010-01-02,7,16791,15049
2010-01-02,8,17473,15616
2010-01-02,9,18010,16227
2010-01-02,10,18809,16910
2010-01-02,11,19846,17431
2010-01-02,12,20051,17680
2010-01-02,13,20204,17760
2010-01-02,14,20039,17671
2010-01-02,15,20057,17582
2010-01-02,16,19953,17620
2010-01-02,17,20616,18548
2010-01-02,18,22262,20069
2010-01-02,19,22051,20123
2010-01-02,20,21774,19506
2010-01-02,21,21111,19111
2010-01-02,22,20553,18418
2010-01-02,23,19567,17717
2010-01-02,24,18621,16836
2010-01-03,1,17624,15989
2010-01-03,2,17772,15564
2010-01-03,3,17480,15372
2010-01-03,4,17786,15184
2010-01-03,5,18005,15286
2010-01-03,6,18109,15411
2010-01-03,7,17959,15778
2010-01-03,8,18579,16265
2010-01-03,9,19336,16715
2010-01-03,10,19993,17342
2010-01-03,11,20673,17934
2010-01-03,12,21162,18389
2010-01-03,13,21351,18540
2010-01-03,14,20871,18413
2010-01-03,15,21153,18238
2010-01-03,16,21605,18449
2010-01-03,17,21491,19441
2010-01-03,18,22732,20885
2010-01-03,19,22898,20771
2010-01-03,20,22769,20108
2010-01-03,21,22160,19691
2010-01-03,22,21688,18931
2010-01-03,23,20800,17865
2010-01-03,24,19060,16757
2010-01-04,1,18712,15864
2010-01-04,2,18539,15589
2010-01-04,3,17916,15363
2010-01-04,4,17752,15354
2010-01-04,5,18080,15515
2010-01-04,6,18891,16404
2010-01-04,7,20076,17758
2010-01-04,8,21628,19338
2010-01-04,9,21858,19898
2010-01-04,10,21865,19936
2010-01-04,11,22193,20234
2010-01-04,12,22157,20508
2010-01-04,13,22208,20055
2010-01-04,14,22117,19980
2010-01-04,15,21887,19814
2010-01-04,16,21953,19836
2010-01-04,17,22740,20712
2010-01-04,18,24486,22045
2010-01-04,19,24796,21939
2010-01-04,20,24612,21425
2010-01-04,21,23751,20849
2010-01-04,22,22310,19960
2010-01-04,23,21140,18605
2010-01-04,24,19683,17224
2010-01-05,1,18989,16423
2010-01-05,2,18566,15947
2010-01-05,3,18501,15626
2010-01-05,4,18386,15608
2010-01-05,5,18748,15699
2010-01-05,6,19396,16433
2010-01-05,7,20052,17828
2010-01-05,8,22162,19431
2010-01-05,9,22700,19879
2010-01-05,10,22838,19925
2010-01-05,11,23102,20049
2010-01-05,12,22689,20037
2010-01-05,13,22177,19964
2010-01-05,14,21849,19783
2010-01-05,15,20931,19786
2010-01-05,16,21559,19790
2010-01-05,17,23181,20829
2010-01-05,18,24227,21819
2010-01-05,19,24666,21737
2010-01-05,20,24507,21274
2010-01-05,21,23674,20787
2010-01-05,22,22620,19859
2010-01-05,23,21045,18639
2010-01-05,24,19367,17282
2010-01-06,1,18808,16137
2010-01-06,2,17492,15669
2010-01-06,3,17265,15444
2010-01-06,4,17293,15353
2010-01-06,5,17456,15481
2010-01-06,6,18533,16272
2010-01-06,7,19726,17544
2010-01-06,8,21983,19250
2010-01-06,9,22941,19751
2010-01-06,10,22423,19728
2010-01-06,11,21861,19722
2010-01-06,12,21582,19651
2010-01-06,13,21338,19454
2010-01-06,14,21487,19346
2010-01-06,15,21515,19293
2010-01-06,16,22244,19471
2010-01-06,17,23259,20303
2010-01-06,18,24679,21589
2010-01-06,19,24289,21505
2010-01-06,20,24275,20970
2010-01-06,21,23285,20403
2010-01-06,22,22252,19534
2010-01-06,23,21003,18363
2010-01-06,24,19409,16867
2010-01-07,1,18392,15862
2010-01-07,2,17854,15343
2010-01-07,3,17362,15182
2010-01-07,4,17455,15038
2010-01-07,5,18228,15310
2010-01-07,6,18886,16032
2010-01-07,7,19811,17311
2010-01-07,8,21669,18925
2010-01-07,9,22689,19505
2010-01-07,10,22167,19498
2010-01-07,11,22164,19590
2010-01-07,12,21912,19573
2010-01-07,13,22328,19315
2010-01-07,14,22185,19162
2010-01-07,15,21889,18972
2010-01-07,16,21774,19095
2010-01-07,17,22372,19910
2010-01-07,18,23777,21078
2010-01-07,19,23889,21225
2010-01-07,20,23777,20773
2010-01-07,21,23343,20318
2010-01-07,22,22351,19550
2010-01-07,23,21150,18321
2010-01-07,24,19485,16909
2010-01-08,1,18274,15925
2010-01-08,2,18042,15520
2010-01-08,3,17852,15288
2010-01-08,4,17738,15285
2010-01-08,5,17646,15396
2010-01-08,6,19065,16123
2010-01-08,7,20478,17557
2010-01-08,8,22329,19147
2010-01-08,9,22886,19706
2010-01-08,10,22899,19678
2010-01-08,11,22710,19847
2010-01-08,12,22371,19693
2010-01-08,13,21915,19490
2010-01-08,14,21833,19382
2010-01-08,15,21354,19277
2010-01-08,16,21611,19269
2010-01-08,17,22483,19889
2010-01-08,18,23745,20987
2010-01-08,19,23994,21125
2010-01-08,20,23271,20724
2010-01-08,21,23184,20298
2010-01-08,22,22621,19523
2010-01-08,23,21519,18394
2010-01-08,24,20024,17225
2010-01-09,1,18930,16451
2010-01-09,2,18832,15896
2010-01-09,3,17703,15596
2010-01-09,4,18177,15447
2010-01-09,5,18383,15533
2010-01-09,6,18630,15844
2010-01-09,7,18571,16295
2010-01-09,8,19446,17057
2010-01-09,9,20933,17802
2010-01-09,10,21497,18356
2010-01-09,11,21647,18535
2010-01-09,12,21627,18517
2010-01-09,13,21319,18294
2010-01-09,14,20920,17966
2010-01-09,15,20615,17768
2010-01-09,16,20450,17683
2010-01-09,17,21404,18544
2010-01-09,18,22674,19939
2010-01-09,19,22340,20114
2010-01-09,20,22530,19609
2010-01-09,21,22348,19134
2010-01-09,22,21654,18600
2010-01-09,23,20786,17793
2010-01-09,24,19721,16928
2010-01-10,1,18855,16182
2010-01-10,2,18322,15695
2010-01-10,3,18094,15407
2010-01-10,4,18087,15376
2010-01-10,5,18076,15314
2010-01-10,6,17779,15459
2010-01-10,7,18329,15848
2010-01-10,8,18884,16222
2010-01-10,9,19216,16600
2010-01-10,10,19891,17192
2010-01-10,11,20313,17576
2010-01-10,12,20429,17687
2010-01-10,13,20394,17578
2010-01-10,14,19974,17338
2010-01-10,15,20013,17197
